# index	signed-64-bit-value
289	4429514767357295841
290	-8893025458299325803
291	-8103734041042601133
292	7177515271653460134
293	4589042248470800257
294	-1530083407795771245
295	143607045258444228
296	246994305896273627
297	-8356954712051676521
298	6473547110565816071
299	3092379936208876896
300	2058427839513754051
301	-4089587328327907870
302	8785882556301281247
303	-3074039370013608197
304	-637529855400303673
305	6137678347805511274
306	-7152924852417805802
307	5708223427705576541
308	-3223714144396531304
309	4358391411789012426
310	325123008708389849
311	6837621693887290924
312	4843721905315627004
313	-3212720814705499393
314	-3825019837890901156
315	4602025990114250980
316	1044646352569048800
317	9106614159853161675
318	-8394115921626182539
319	-4304087667751778808
320	2681532557646850893
321	3681559472488511871
322	-3915372517896561773
323	-2889241648411946534
324	-6564663803938238204
325	-8060058171802589521
326	581945337509520675
327	3648778920718647903
328	-4799698790548231394
329	-7602572252857820065
330	220828013409515943
331	-1072987336855386047
332	4287360518296753003
333	-4633371852008891965
334	5513660857261085186
335	-2258542936462001533
336	-8744380348503999773
337	8746140185685648781
338	228500091334420247
339	1356187007457302238
340	3019253992034194581
341	3152601605678500003
342	-8793219284148773595
343	5559581553696971176
344	4916432985369275664
345	-8559797105120221417
346	-5802598197927043732
347	2868348622579915573
348	-7224052902810357288
349	-5894682518218493085
350	2587672709781371173
351	-7706116723325376475
352	3092343956317362483
353	-5561119517847711700
354	972445599196498113
355	-1558506600978816441
356	1708913533482282562
357	-2305554874185907314
358	-6005743014309462908
359	-6653329009633068701
360	-483583197311151195
361	2488075924621352812
362	-4529369641467339140
363	-4663743555056261452
364	2997203966153298104
365	1282559373026354493
366	240113143146674385
367	8665713329246516443
368	628141331766346752
369	-4651421219668005332
370	-7750560848702540400
371	7596648026010355826
372	-3132152619100351065
373	7834161864828164065
374	7103445518877254909
375	4390861237357459201
376	-4780718172614204074
377	-319889632007444440
378	622261699494173647
379	-3186110786557562560
380	-8718967088789066690
381	-1948156510637662747
382	-8212195255998774408
383	-7028621931231314745
384	2623071828615234808
385	-4066058308780939700
386	-5484966924888173764
387	-6683604512778046238
388	-6756087640505506466
389	5256026990536851868
390	7841086888628396109
391	6640857538655893162
392	-8021284697816458310
393	-7109857044414059830
394	-1689021141511844405
395	-4298087301956291063
396	-4077748265377282003
397	-998231156719803476
398	2719520354384050532
399	9132346697815513771
400	4332154495710163773
401	-2085582442760428892
402	6994721091344268833
403	-2556143461985726874
404	-8567931991128098309
405	59934747298466858
406	-3098398008776739403
407	-265597256199410390
408	2332206071942466437
409	-7522315324568406181
410	3154897383618636503
411	-7585605855467168281
412	-6762850759087199275
413	197309393502684135
414	-8579694182469508493
415	2543179307861934850
416	4350769010207485119
417	-4468719947444108136
418	-7207776534213261296
419	-1224312577878317200
420	4287946071480840813
421	8362686366770308971
422	6486469209321732151
423	-5605644191012979782
424	-1669018511020473564
425	4450022655153542367
426	-7618176296641240059
427	-3896357471549267421
428	-4596796223304447488
429	-6531150016257070659
430	-8982326463137525940
431	-4125325062227681798
432	-1306489741394045544
433	-8338554946557245229
434	5329160409530630596
435	7790979528857726136
436	4955070238059373407
437	-4304834761432101506
438	-6215295852904371179
439	3007769226071157901
440	-6753025801236972788
441	8928702772696731736
442	7856187920214445904
443	-4748497451462800923
444	7900176660600710914
445	-7082800908938549136
446	-6797926979589575837
447	-6737316883512927978
448	4186670094382025798
449	1883939007446035042
450	-414705992779907823
451	3734134241178479257
452	4065968871360089196
453	6953124200385847784
454	-7917685222115876751
455	-7585632937840318161
456	-5567246375906782599
457	-5256612402221608788
458	3106378204088556331
459	-2894472214076325998
460	4565385105440252958
461	1979884289539493806
462	-6891578849933910383
463	3783206694208922581
464	8464961209802336085
465	2843963751609577687
466	3030678195484896323
467	-4429654462759003204
468	4459239494808162889
469	402587895800087237
470	8057891408711167515
471	4541888170938985079
472	1042662272908816815
473	-3666068979732206850
474	2647678726283249984
475	2144477441549833761
476	-3417019821499388721
477	-2105601033380872185
478	5916597177708541638
479	-8760774321402454447
480	8833658097025758785
481	5970273481425315300
482	563813119381731307
483	-6455022486202078793
484	1598828206250873866
485	-4016978389451217698
486	-2988328551145513985
487	-6071154634840136312
488	8469693267274066490
489	125672920241807416
490	-3912292412830714870
491	-2559617104544284221
492	-486523741806024092
493	-4735332261862713930
494	5923302823487327109
495	-9082480245771672572
496	-1808429243461201518
497	7990420780896957397
498	4317817392807076702
499	3625184369705367340
500	-6482649271566653105
501	-3480272027152017464
502	-3225473396345736649
503	-368878695502291645
504	-3981164001421868007
505	-8522033136963788610
506	7609280429197514109
507	3020985755112334161
508	-2572049329799262942
509	2635195723621160615
510	5144520864246028816
511	-8188285521126945980
512	1567242097116389047
513	8172389260191636581
514	-2885551685425483535
515	-7060359469858316883
516	-6480181133964513127
517	-7317004403633452381
518	6011544915663598137
519	5932255307352610768
520	2241128460406315459
521	-8327867140638080220
522	3094483003111372717
523	4583857460292963101
524	9079887171656594975
525	-384082854924064405
526	-3460631649611717935
527	4225072055348026230
528	-7385151438465742745
529	3801620336801580414
530	-399845416774701952
531	-7446754431269675473
532	7899055018877642622
533	5421679761463003041
534	5521102963086275121
535	-4975092593295409910
536	8735487530905098534
537	-7462844945281082830
538	-2080886987197029914
539	-1000715163927557685
540	-4253840471931071485
541	-5828896094657903328
542	6424174453260338141
543	359248545074932887
544	-5949720754023045210
545	-2426265837057637212
546	3030918217665093212
547	-9077771202237461772
548	-3186796180789149575
549	740416251634527158
550	-2142944401404840226
551	6951781370868335478
552	399922722363687927
553	-8928469722407522623
554	-1378421100515597285
555	-8343051178220066766
556	-3030716356046100229
557	-8811767350470065420
558	9026808440365124461
559	6440783557497587732
560	4615674634722404292
561	539897290441580544
562	2096238225866883852
563	8751955639408182687
564	-7316147128802486205
565	7381039757301768559
566	6157238513393239656
567	-1473377804940618233
568	8629571604380892756
569	5280433031239081479
570	7101611890139813254
571	2479018537985767835
572	7169176924412769570
573	-1281305539061572506
574	-7865612307799218120
575	2278447439451174845
576	3625338785743880657
577	6477479539006708521
578	8976185375579272206
579	-3712000482142939688
580	1326024180520890843
581	7537449876596048829
582	5464680203499696154
583	3189671183162196045
584	6346751753565857109
585	-8982212049534145501
586	-6127578587196093755
587	-245039190118465649
588	-6320577374581628592
589	7208698530190629697
590	7276901792339343736
591	-7490986807540332668
592	4133292154170828382
593	2918308698224194548
594	-7703910638917631350
595	-3929437324238184044
596	-4300543082831323144
597	-6344160503358350167
598	5896236396443472108
599	-758328221503023383
600	-1894351639983151068
601	-307900319840287220
602	-6278469401177312761
603	-2171292963361310674
604	8382142935188824023
605	9103922860780351547
606	4152330101494654406
